,country,state,density
0,Monaco,,18960.0
1,Singapore,,7894.0
2,Bahrain,,1983.0
3,Malta,,1510.0
4,Maldives,,1258.0
5,Bangladesh,,1169.0
6,Lebanon,,672.0
7,Barbados,,668.0
8,Mauritius,,620.0
9,San Marino,,568.0
10,Rwanda,,470.0
11,Netherlands,,420.0
12,Haiti,,416.0
13,Israel,,416.0
14,India,,414.0
15,Belgium,,376.0
16,Philippines,,362.0
17,Japan,,333.0
18,Sri Lanka,,332.0
19,El Salvador,,319.0
20,Grenada,,316.0
21,Saint Lucia,,292.0
22,Vietnam,,290.0
23,Saint Vincent and the Grenadines,,284.0
24,United Kingdom,,274.0
25,Pakistan,,273.0
26,Trinidad and Tobago,,265.0
27,Kuwait,,248.0
28,Jamaica,,248.0
29,Liechtenstein,,240.0
30,Luxembourg,,237.0
31,Qatar,,237.0
32,Antigua and Barbuda,,235.0
33,Germany,,233.0
34,Nigeria,,218.0
35,Dominican Republic,,216.0
36,Seychelles,,213.0
37,Saint Kitts and Nevis,,209.0
38,Gambia,,208.0
39,Switzerland,,208.0
40,Nepal,,201.0
41,Italy,,200.0
42,Uganda,,166.0
43,Andorra,,164.0
44,Guatemala,,162.0
45,Cyprus,,149.0
46,China,,145.0
47,Indonesia,,141.0
48,Denmark,,135.0
49,Togo,,133.0
50,Thailand,,130.0
51,Ghana,,127.0
52,France,,123.0
53,Poland,,123.0
54,Jordan,,119.0
55,United Arab Emirates,,117.0
56,Azerbaijan,,116.0
57,Portugal,,112.0
58,Slovakia,,111.0
59,Austria,,106.0
60,Turkey,,106.0
61,Hungary,,105.0
62,Benin,,104.0
63,Slovenia,,103.0
64,Cuba,,102.0
65,Ethiopia,,101.0
66,Egypt,,100.0
67,Albania,,100.0
68,Malaysia,,99.0
69,Costa Rica,,99.0
70,Armenia,,99.0
71,Dominica,,97.0
72,Spain,,93.0
73,Syria,,92.0
74,Cambodia,,90.0
75,Iraq,,90.0
76,Serbia,,89.0
77,Kenya,,82.0
78,Senegal,,82.0
79,Honduras,,81.0
80,Romania,,81.0
81,Greece,,81.0
82,North Macedonia,,81.0
83,Morocco,,80.0
84,Moldova,,79.0
85,Timor-Leste,,78.0
86,Burkina Faso,,75.0
87,Uzbekistan,,73.0
88,Brunei,,73.0
89,Croatia,,72.0
90,Tunisia,,72.0
91,Ireland,,70.0
92,Ukraine,,69.0
93,Bosnia and Herzegovina,,69.0
94,Mexico,,64.0
95,Bulgaria,,63.0
96,Ecuador,,63.0
97,Tanzania,,59.0
98,Panama,,56.0
99,Georgia,,54.0
100,Nicaragua,,53.0
